Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
tpu7x-2,Qwen/Qwen2.5-1.5B-Instruct,512,4096,1,2048,sonnet,1800,128
tpu7x-2,Qwen/Qwen3-4B,128,1024,1,2048,sonnet,1800,128
tpu7x-2,Qwen/Qwen3-Coder-30B-A3B-Instruct,128,4096,1,2048,sonnet,1800,128
tpu7x-2,Qwen/Qwen3-0.6B,128,2048,1,2048,sonnet,1800,128
tpu7x-2,Qwen/Qwen3-4B,128,10275,1,10275,sonnet,1024,8192
tpu7x-2,Qwen/Qwen3-4B,128,10275,1,10275,sonnet,8192,1024
tpu7x-2,Qwen/Qwen3-4B,128,10275,1,10275,sonnet,1024,1024
tpu7x-2,Qwen/Qwen3-Coder-30B-A3B-Instruct,128,10275,1,10275,sonnet,1024,8192
tpu7x-2,Qwen/Qwen3-Coder-30B-A3B-Instruct,128,10275,1,10275,sonnet,8192,1024
tpu7x-2,Qwen/Qwen3-Coder-30B-A3B-Instruct,128,10275,1,10275,sonnet,1024,1024
tpu7x-2,Qwen/Qwen3-0.6B,128,10275,1,10275,sonnet,1024,8192
tpu7x-2,Qwen/Qwen3-0.6B,128,10275,1,10275,sonnet,8192,1024
tpu7x-2,Qwen/Qwen3-0.6B,128,10275,1,10275,sonnet,1024,1024
tpu7x-2,openai/gpt-oss-20b,128,10275,1,10275,sonnet,1024,8192
tpu7x-2,openai/gpt-oss-20b,128,10275,1,10275,sonnet,8192,1024
tpu7x-2,openai/gpt-oss-20b,128,10275,1,10275,sonnet,1024,1024
