Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts,ModelTag,PrefixLen,AdditionalConfig,ExtraArgs
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.85 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.80 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.75 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.70 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --block-size=16 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --block-size=128 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --block-size=512 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,16384,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,32768,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --enable-expert-parallel'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8'
tpu7x-8,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,512,8192,8,10240,random,8192,1024,43200000,320,NEW,0,'{"is_verbose": true}','--kv_cache_dtype=fp8 --gpu-memory-utilization=0.90 --tensor-parallel-size=8 --enable-expert-parallel'
